SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE
AUREBASIDIUMPILLULAN(2 SOUCHES) :DSM 14940 +DSM 14941,BLOSSOM PROTECT,STIMA,BIO FERM,DSM 14940,DSM 14940,DSM 14941,DSM 14941,N/A,N/A,N/A,N/A,STIMA,BIO FERM
HYDROXYDE DE CUIVRE,BLUE SHIELD 25 WG,SOLAGRI,ALBAUGH.LLC,HYDROXYDE DE CUIVRE,HYDROXYDE DE CUIVRE,N/A,N/A,N/A,N/A,N/A,N/A,SOLAGRI,ALBAUGH
SPIRODICLOFEN,BOLIDO 240 SC,PROMOCHIMIE,BAYER CROPSCIENCE/GOWAN,SPIRODICLOFEN,SPIRODICLOFEN,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER CROPSCIENCE GOWAN
HELICOVERPA ARMIGERA NUCLEOPOLYHEDROVIRUS,BOLLDEX SC,ALOHA AGRICULTURE,ANDERMATT BIOCONTROL,HELICOVERPA ARMIGERA NUCLEOPOLYHEDROVIRUS,HELICOVERPA ARMIGERA NUCLEOPOLYHEDROVIRUS,N/A,N/A,N/A,N/A,N/A,N/A,ALOHA,ANDERMATT BIOCONTROL
CHLORPYRIFOS+GAMMA – CYHALOTHRIN,BOLTON EC,AGRIPROTEC,CHEMINOVA /FMC,CHLORPYRIFOS,CHLORPYRIFOS,GAMMA – CYHALOTHRIN,GAMMA – CYHALOTHRIN,N/A,N/A,N/A,N/A,AGRIPROTEC,CHEMINOVA FMC
TRIBENURON METHYL + FLORASULAM,BOMBA WG,EL KHADRA,JSC(AVGUST),TRIBENURON METHYL,TRIBENURON METHYL,FLORASULAM,FLORASULAM,N/A,N/A,N/A,N/A,EL KHADRA,JSC AVGUST
ALPHAMÉTHRINE,BONBARD,COTUGRAIN,BASF,ALPHAMÉTHRINE,ALPHAMÉTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,BASF
CHLORPYRIPHOSETHYL,BONSOL,COTUGRAIN,SHARDA,CHLORPYRIPHOSETHYL,CHLORPYRIPHOSETHYL,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,SHARDA
BOSCALID + PYRACLOSTROBIN,BOOSTER WG,NEGANOR,NANJING AGROCHEMICAL /CHINE,BOSCALID,BOSCALID,PYRACLOSTROBIN,PYRACLOSTROBIN,N/A,N/A,N/A,N/A,NEGANOR,NANJING CHINE
SULFATE TETRACUIVRIQUE TRICALCIQUE,BORDOCURE WG,FERTITECH,ALINTRA,SULFATE TETRACUIVRIQUE TRICALCIQUE,SULFATE TETRACUIVRIQUE TRICALCIQUE,N/A,N/A,N/A,N/A,N/A,N/A,FERTITECH,ALINTRA
ETOXAZOLE,BORNEO 10 SC,BIOPROTECTION,SUMITOMO CHEMICHAL AGRO EUROPE S.A.S,ETOXAZOLE,ETOXAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SUMITOMO CHEMICHAL AGRO EUROPE S A S
AUREOBASIDIUMPULLULANS DSM 14940 ET AUREOBASIDIUMPULLULANS DSM 14941,BOTECTOR WG,STIMA,BIOFERM/SAN AGROW/AUTRICHE,AUREOBASIDIUMPULLULANS DSM 14940 ET AUREOBASIDIUMPULLULANS DSM 14941,AUREOBASIDIUMPULLULANS DSM 14940 ET AUREOBASIDIUMPULLULANS DSM 14941,N/A,N/A,N/A,N/A,N/A,N/A,STIMA,BIOFERM SAN AGROW AUTRICHE
"2,4-D SEL DE DIMETHYLAMINE",BOZAR,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD","2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE",N/A,N/A,N/A,N/A,N/A,N/A,AGRIPLUS,JIANGSU FENGSHAN GROUP
PYRIPROXYFENE,BRAI EC,RAYEN PHYTAGRI,LAINCO SA,PYRIPROXYFENE,PYRIPROXYFENE,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,LAINCO SA
LAMBDA-CYHALOTHRINE,BREAK ME SC,EL KHADRA,AUGUST INC/CORPORATE,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,AUGUST CORPORATE
POLYETHER MODIFIED TRISILOXANE + POLYETHER,BREAK THRU SL,ATLAS AGRICOLE,EVONIC,POLYETHER MODIFIED TRISILOXANE,POLYETHER MODIFIED TRISILOXANE,POLYETHER,POLYETHER,N/A,N/A,N/A,N/A,ATLAS,EVONIC
FLUMETSULAM,BROADSTRIKE WG,PROMOCHIMIE,DOW AGROSCIENCE,FLUMETSULAM,FLUMETSULAM,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,DOW AGROSCIENCE
BRODIFACOUM,BRODITOP,ETS MEZGHANI,ZAPI SPA,BRODIFACOUM,BRODIFACOUM,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,ZAPI
BRODIFACOUM,BRODITOP WAX BLOCK,ETS MEZGHANI,ZAPI SPA,BRODIFACOUM,BRODIFACOUM,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,ZAPI
GLYPHOSATE + OXYFLUORFÈNE,BROUT,SEPCM,AAKO,GLYPHOSATE,GLYPHOSATE,OXYFLUORFÈNE,OXYFLUORFÈNE,N/A,N/A,N/A,N/A,SEPCM,AAKO
PENCONAZOLE,BUCKLER,AMINCO,GLOBACHEM,PENCONAZOLE,PENCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AMINCO,GLOBACHEM
GLYPHOSATE,BUGGY,INNOVA,SIPCAM INGARA,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,SOCOOPEC,SIPCAM INGARA
CLODINAFOP-PROPAGYL +CLOQUINTOCET-MEXYL,BUGUIS EC,AGRIPROTEC,PROPLAN,CLODINAFOP-PROPAGYL,CLODINAFOP-PROPAGYL,CLOQUINTOCET-MEXYL,CLOQUINTOCET-MEXYL,N/A,N/A,N/A,N/A,AGRIPROTEC,PROPLAN
DIMETHENAMID-P + METAZACHLOR + QUINMERAC,BUTISAN AVANT SE,COTUGRAIN,BASF,DIMETHENAMID-P,DIMETHENAMID-P,METAZACHLOR,METAZACHLOR,QUINMERAC,QUINMERAC,N/A,N/A,COTUGRAIN,BASF
SOUFRE,CABRIDUST,AGROSYSTEMES,THE NATIONAL COMPANY FOR AGROCHEMICALS(AGROCHEM),SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,THE NATIONAL FOR AGROCHEM
PYRACLOSTROBINE + DIMOTOMORPHE,CABRIO DUO,AGRIPROTEC,BASF,PYRACLOSTROBINE,PYRACLOSTROBINE,DIMOTOMORPHE,DIMOTOMORPHE,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
PROPYZAMIDE,CADDY SC,RAYEN PHYTAGRI,BARCLAY CHEMICALS LTD,PROPYZAMIDE,PROPYZAMIDE,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,BARCLAY
THIACLOPRIDE,CALYPSO,PROMOCHIMIE,BAYER CROPSCIENCE,THIACLOPRIDE,THIACLOPRIDE,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER CROPSCIENCE
CHLOROTHALONIL + TEBUCONAZOLE,CAMARO COMBI SC,RAYEN PHYTAGRI,PARIJAT INDUSTRIES,CHLOROTHALONIL,CHLOROTHALONIL,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,PARIJAT INDUSTRIES
TÉBUCONAZOLE,CAMARO430SC,RAYEN PHYTAGRI,SHARDA CROPCHEM LIMITED INDE,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,SHARDA CROPCHEM INDE
ACETAMIPRID + PYRIPROXYFEN,CANVION310 DC,COTUGRAIN,SYNGENTA CROP PROTECTION,ACETAMIPRID,ACETAMIPRID,PYRIPROXYFEN,PYRIPROXYFEN,N/A,N/A,N/A,N/A,COTUGRAIN,SYNGENTA
THIOPHANATE-MÉTHYL,CAP-TOP,NEGANOR,NANJIG(JIANGSU LANFENG BIOCHEMICAL(FABRICANT)),THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR,NANJIG JIANGSU LANFENG BIOCHEMICAL FABRICANT
FENPROPIMORPHE + EPOXICONAZOLE + METRAFENONE,CAPALO,STIMA,BASF,FENPROPIMORPHE,FENPROPIMORPHE,EPOXICONAZOLE,EPOXICONAZOLE,METRAFENONE,METRAFENONE,N/A,N/A,STIMA,BASF
ACETAMIPRID,CAPILAN SL,NEGANOR,AGROW ALLIED,ACETAMIPRID,ACETAMIPRID,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR,AGROW ALLIED
CAPTANE,CAPITOL 80 WG,AGRONOMIC LAND,SHARDA,CAPTANE,CAPTANE,N/A,N/A,N/A,N/A,N/A,N/A,AGRONOMIC LAND,SHARDA
CAPTANE,CAPLANT EC,FERTIPLANT,SHARDA CROPCHEM LIMITED,CAPTANE,CAPTANE,N/A,N/A,N/A,N/A,N/A,N/A,FERTIPLANT,SHARDA CROPCHEM
CAPTANE,CAPTAN 83 WP,AGRIPROTEC,ARYSTA LIFESCIENCE/UPL,CAPTANE,CAPTANE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,ARYSTA LIFESCIENCE UPL
MANDIPROPAMIDE + CHLOROTHALONIL,CARIAL OPTI,BIOPROTECTION,SYNGENTA,MANDIPROPAMIDE,MANDIPROPAMIDE,CHLOROTHALONIL,CHLOROTHALONIL,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
MANDIPROPAMIDE + DIFENOCONAZOLE,CARIAL TOP,BIOPROTECTION,SYNGENTA,MANDIPROPAMIDE,MANDIPROPAMIDE,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
DICAMBA +PROSULFURON,CASPER 55 WG,SOLAGRI,SYNGENTA,DICAMBA,DICAMBA,PROSULFURON,PROSULFURON,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
FOSETHYL AL + FOLPEL + IPROVALICARBE,CASSIOPEE WG,PROMOCHIMIE,BAYER AG,FOSETHYL AL,FOSETHYL AL,FOLPEL,FOLPEL,IPROVALICARBE,IPROVALICARBE,N/A,N/A,PROMOCHIMIE,BAYER AG
AZOXYSTROBINE,CAYEN 500 WG,RAYEN PHYTAGRI,SHARDA,AZOXYSTROBINE,AZOXYSTROBINE,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,SHARDA
CHLORMEQUAT-CHLORURE,CEKWAT 750,BIOPROTECTION,NUFARM,CHLORMEQUAT-CHLORURE,CHLORMEQUAT-CHLORURE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,NUFARM
DIFENOCONAZOLE + FLUDIOXONIL,CELEST EXTRA 50 FS,BIOPROTECTION,SYNGENTA,DIFENOCONAZOLE,DIFENOCONAZOLE,FLUDIOXONIL,FLUDIOXONIL,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
DIFENOCONAZOLE + FLUDIOXONIL +THIAMETHOXAM,CELESTTOP 312.5,BIOPROTECTION,SYNGENTA,DIFENOCONAZOLE,DIFENOCONAZOLE,FLUDIOXONIL,FLUDIOXONIL,THIAMETHOXAM,THIAMETHOXAM,N/A,N/A,BIOPROTECTION,SYNGENTA
PROTHIOCONAZOLE + TEBUCONAZOLE + SPIROXAMINE,CELLO,AGRONOMIC LAND,BAYER CROPSCIENCE,PROTHIOCONAZOLE,PROTHIOCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,SPIROXAMINE,SPIROXAMINE,N/A,N/A,AGRONOMIC LAND,BAYER CROPSCIENCE
HYDROLYSAT DE PROTÉINES,CERABAIT,EL MOUSSEM,EVIE MICHAAILIDES,HYDROLYSAT DE PROTÉINES,HYDROLYSAT DE PROTÉINES,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,EVIE MICHAAILIDES
PROTHIOCONAZOLE + BENZOVINDIFLUPYR(SOLATENOL),CERATAVO ERA,BIOPROTECTION,SYNGENTA,PROTHIOCONAZOLE,PROTHIOCONAZOLE,BENZOVINDIFLUPYR (SOLATENOL),BENZOVINDIFLUPYR (SOLATENOL),N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
HYDROLYSAT DE PROTÉINES+BORAX,CERATRAP (EN BOUTEILLES OU/ET EN PIÈGES JAUNES),BIOPROTECTION,BIOEBERICA S.A,HYDROLYSAT DE PROTÉINES,HYDROLYSAT DE PROTÉINES,BORAX,BORAX,N/A,N/A,N/A,N/A,BIOPROTECTION,BIOEBERICA S A
EPOXICONAZOLE,CERIAZOLE SC,AGRIPROTEC,NUFARM,EPOXICONAZOLE,EPOXICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,NUFARM
HEXYTHIAZOX,CESAR,EL MOUSSEM AGRICOLE,"NIPPON SODA CO., LTD",HEXYTHIAZOX,HEXYTHIAZOX,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,NIPPON SODA
METRIBUZINE+ CLOMAZONE,CETUS,AGRIPROTEC,FMC,METRIBUZINE,METRIBUZINE,CLOMAZONE,CLOMAZONE,N/A,N/A,N/A,N/A,AGRIPROTEC,FMC
ACLONIFEN,CHALLENGE 600SC,EL MOUSSEM AGRICOLE,BAYER AG,ACLONIFEN,ACLONIFEN,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,BAYER AG
CUIVRE,CHAMP FLO,INNOVA,NUFARM,CUIVRE,CUIVRE,N/A,N/A,N/A,N/A,N/A,N/A,INNOVA,NUFARM
CYPROCONAZOLE + CHLOROTHALONIL,CHAMPION,SOCOOPEC,SHARDA CROPCHEM,CYPROCONAZOLE,CYPROCONAZOLE,CHLOROTHALONIL,CHLOROTHALONIL,N/A,N/A,N/A,N/A,SOCOOPEC,SHARDA CROPCHEM
"2,4-D SEL D’AMINE",CHARDOL 720 SL,BIOPROTECTION,NUFARM,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,NUFARM
CHLORPYRIPHOS ETHYL,CHARTER,SANABEL AGRO,SINON CORPORATION,CHLORPYRIPHOS ETHYL,CHLORPYRIPHOS ETHYL,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SINON CORPORATION
CHLOROTHALONIL +PROPICONAZOLE +CYPROCONAZOLE,"CHEROKEE 487,5 SE",SOLAGRI,SYNGENTA,CHLOROTHALONIL,CHLOROTHALONIL,PROPICONAZOLE,PROPICONAZOLE,CYPROCONAZOLE,CYPROCONAZOLE,N/A,N/A,SOLAGRI,SYNGENTA
CHLOROTHAONIL,CHLORAMAX,SANABEL AGRO,SINON CORPORATION,CHLOROTHAONIL,CHLOROTHAONIL,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SINON CORPORATION
FLUDIOXONIL +CYPRODINIL,CHORUS DOUBLE,BIOPROTECTION,SYNGENTA,FLUDIOXONIL,FLUDIOXONIL,CYPRODINIL,CYPRODINIL,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
GLYPHOSATE,CIBLE,AGRIPROTEC,NUFARM,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,NUFARM
DIFENOCONAZOLE +CYFLUFENAMID,CIDELY TOP 140 DC,AGRIPROTEC,SYNGENTA,DIFENOCONAZOLE,DIFENOCONAZOLE,CYFLUFENAMID,CYFLUFENAMID,N/A,N/A,N/A,N/A,AGRIPROTEC,SYNGENTA
FOLPEL +BENALAXYL +CYMOXANIL,CIFOXIL WP,PROMOCHIMIE,SIPCAM INAGRA,FOLPEL,FOLPEL,BENALAXYL,BENALAXYL,CYMOXANIL,CYMOXANIL,N/A,N/A,PROMOCHIMIE,SIPCAM INAGRA
LUFENURON,CIGNA 50 EC,COTUGRAIN IMPEX,SYNGENTA,LUFENURON,LUFENURON,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,SYNGENTA
CYPERMÉTHRINE,CIRTAN EC,COTUGRAIN IMPEX,ALCOTAN,CYPERMÉTHRINE,CYPERMÉTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,ALCOTAN
DELTAMETHRIN,CISTHRIN EC,UNIAGRO,SHANDONG WEIFANG RAINBOW,DELTAMETHRIN,DELTAMETHRIN,N/A,N/A,N/A,N/A,N/A,N/A,UNIAGRO,SHANDONG WEIFANG RAINBOW
HUILE MINÉRALE,CITROLE,EL MOUSSEM AGRICOLE,TOTALENERGIES FLUIDES,HUILE MINÉRALE,HUILE MINÉRALE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,TOTALENERGIES FLUIDES
ARYLEX TM + FORASULAM + CLOQUINTOCET ACIDE +SURFER,CLASSICO WG,SEPCM,DOW AGROSCIENCES,ARYLEX TM,ARYLEX TM,FORASULAM,FORASULAM,CLOQUINTOCET ACIDE,CLOQUINTOCET ACIDE,SURFER,SURFER,SEPCM,DOW AGROSCIENCES
CYROMAZINE,CLAVE WP,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,CYROMAZINE,CYROMAZINE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
FOSETYL ALUMINIUM,CLEANER WP,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE,FOSETYL ALUMINIUM,FOSETYL ALUMINIUM,N/A,N/A,N/A,N/A,N/A,N/A,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE
DICHLOROPROP-P,CLEMENTGROS,SANABEL AGRO,NUFARM,DICHLOROPROP-P,DICHLOROPROP-P,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,NUFARM
OXYFLUORFENE,CLENOFEN 240,SANABEL AGRO,ZHEJIANG E-TONG CHEMICAL CO LTD,OXYFLUORFENE,OXYFLUORFENE,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,ZHEJIANG E-TONG CHEMICAL CO LTD
CLÉTHODIM,CLETHODIM EC SOUS RESERVE DE CHANGEMENT DE NOM,TASMID,PSYCHE M CHEMICALS LIMITED,CLÉTHODIM,CLÉTHODIM,N/A,N/A,N/A,N/A,N/A,N/A,TASMID,PSYCHE M
CHLORANTRANILIPROLE,CLEVEROLE SC,UNIAGRO,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD,CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,N/A,N/A,N/A,N/A,N/A,N/A,UNIAGRO,SHANDONG WEIFANG RAINBOW
GLYPHOSATE,CLINIC,EL MOUSSEMAGRI,NUFARM,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEMAGRI,NUFARM
FAMOXADONE + MANCOZEBE,CLIP,AGRIMATCO,DU PONT INTERNATIONAL/CORTEVA,FAMOXADONE,FAMOXADONE,MANCOZEBE,MANCOZEBE,N/A,N/A,N/A,N/A,AGRIMATCO,DU PONT INTERNATIONAL CORTEVA
CLETHODIM,CLODIM FORTE 240 EC,SOLAGRI,SYNGENTA,CLETHODIM,CLETHODIM,N/A,N/A,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
CLOPYRALID,CLOPRYD 30 SL,SLDA,SHARDA CROPCHEM,CLOPYRALID,CLOPYRALID,N/A,N/A,N/A,N/A,N/A,N/A,SLDA,SHARDA CROPCHEM
CHLOROTHAONIL,CLORTOSIP 500 SC,ATLAS AGRICOLE,SIPCAM INAGRA,CHLOROTHAONIL,CHLOROTHAONIL,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,SIPCAM INAGRA
SULFOXAFLOR,CLOSER 240 SC,SEPCM,DOW AGROSCIENCE/CORTEVA,SULFOXAFLOR,SULFOXAFLOR,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,DOW AGROSCIENCE CORTEVA
IPRODIONE,CLUSTER,RAYEN PHYTAGRI,DIACHEM S.P.A,IPRODIONE,IPRODIONE,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,DIACHEM S P A
FLORASULAME,CLYDE SG,AGRIPROTEC,ALBAUGH EUROPE SARL,FLORASULAME,FLORASULAME,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,ALBAUGH EUROPE
CUIVRE MÉTAL,COBRAKEY,ETS MEZGHANI,INDUSTRI. QUIMAGRO,CUIVRE MÉTAL,CUIVRE MÉTAL,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUSTRI QUIMAGRO
CUIVRE METAL,COBRE NORDOX,COTUGRAIN,NORDOX INDUSTRIER A/S,CUIVRE METAL,CUIVRE METAL,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,NORDOX INDUSTRIER A S
CUIVRE MÉTAL,COBREKEY,ETS MEZGHANI,INDUSTRI.,CUIVRE MÉTAL,CUIVRE MÉTAL,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUSTRI
HUILE DE COLZA,CODACIDE EO,AGRIMATCO,MIROCIDE LTD,HUILE DE COLZA,HUILE DE COLZA,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,MIROCIDE
BOSCALID +KRÉSOXYM-METHYL,COLLIS 300SC,STIMA,BASF,BOSCALID,BOSCALID,KRÉSOXYM-METHYL,KRÉSOXYM-METHYL,N/A,N/A,N/A,N/A,STIMA,BASF
PROPICONAZOLE + TEBUCONAZOLE,COLLOSAL PRO,EL KHADRA,AUGUST JSC,PROPICONAZOLE,PROPICONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,EL KHADRA,AUGUST JSC
TEBUCONAZOLE,COLOSSAL,HALAB TUNISIE,JSC AUGUST INC,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,HALAB TUNISIE,JSC AUGUST INC
PROPICONAZOLE +TEBUCONAZOLE,COLOSSAL PRO,EL KHADRA,AUGUST CROPROTECTION,PROPICONAZOLE,PROPICONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,EL KHADRA,AUGUST CROPROTECTION
CUIVRE MÉTAL,COMAC,AGRIPROTEC,NUFARM,CUIVRE MÉTAL,CUIVRE MÉTAL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,NUFARM
PYRACLOSTROBIN +FENPROPIMORPH,COMET PLUS EC,AGRIPROTEC,BASF,PYRACLOSTROBIN,PYRACLOSTROBIN,FENPROPIMORPH,FENPROPIMORPH,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
BIFENAZATE,COMITE 240 SC,BIOPROTECTION,CHEMTURA/AR,BIFENAZATE,BIFENAZATE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,CHEMTURA AR
IMIDACLOPRIDE,CONFIDOR,PROMOCHIMIE,BAYER CROPSCIENCE,IMIDACLOPRIDE,IMIDACLOPRIDE,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER CROPSCIENCE
CYFLUFENAMID,CONFIRM 5 EW,EL MOUSSEM,NIPPON SODA/ NISSO CHEMICAL EUROPE GMBH,CYFLUFENAMID,CYFLUFENAMID,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,NIPPON SODA NISSO EUROPE
PROPAMOCARBE +FENAMIDONE,CONSENTO 450,ATLAS AGRICOLE,BAYER CROPSCIENCE/ GOWAN CROP PROTECTION,PROPAMOCARBE,PROPAMOCARBE,FENAMIDONE,FENAMIDONE,N/A,N/A,N/A,N/A,ATLAS,BAYER CROPSCIENCE GOWAN
HYDROXYDE DE CUIVRE,COPPER PROGRESS,AGROSYSTEMES,SPEISS URANIA/COSACO GMBH,HYDROXYDE DE CUIVRE,HYDROXYDE DE CUIVRE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,SPEISS URANIA COSACO
CUIVRE MÉTAL,COPSIP,AGRIPROTEC,SIPCAM INAGRA,CUIVRE MÉTAL,CUIVRE MÉTAL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,SIPCAM INAGRA
CHLORANTRANILIPROLE,CORAGEN 20 SC,SEPCM,DU PONT/FMC,CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,DU PONT FMC
TÉBUCONAZOLE,CORAIL,PROMOCHIMIE,BAYER CROPSCIENCE,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER CROPSCIENCE
CHLORANTRANILIPROLE,COREGIS SC,PROMOCHIMIE,DU PONT/FMC,CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,DU PONT FMC
TRIBENURON-METHYL,CORIDA 75 WG,SOCOOPEC,AGRIA,TRIBENURON-METHYL,TRIBENURON-METHYL,N/A,N/A,N/A,N/A,N/A,N/A,SOCOOPEC,AGRIA
ACLONIFEN,COSTA SC,SANABEL AGRO,SHARDA CROPCHEM LIMITED/,ACLONIFEN,ACLONIFEN,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA CROPCHEM
AZOXYSTROBINE + CYPROCONAZOLE,COUGAR SC,PROTAGRI,UPL LIMITED,AZOXYSTROBINE,AZOXYSTROBINE,CYPROCONAZOLE,CYPROCONAZOLE,N/A,N/A,N/A,N/A,PROTAGRI,UPL
PYRACLOSTROBIN +BOSCALID,CRYSTAL SC,FERTITECH,HANGZHOU,PYRACLOSTROBIN,PYRACLOSTROBIN,BOSCALID,BOSCALID,N/A,N/A,N/A,N/A,FERTITECH,HANGZHOU
SULPHATE DE CUIVRE TRIBASIQUE,CU MAX,RAYEN PHYTAGRI,DIACHEM S.P.A,SULPHATE DE CUIVRE TRIBASIQUE,SULPHATE DE CUIVRE TRIBASIQUE,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,DIACHEM S P A
SULFATETETRACUIVRIQUE TRICALCIQUE + CYMOXANIL,CUPERTINE SUPER WP,FERTITECH,ALINTRA ESPAGNE,SULFATETETRACUIVRIQUE TRICALCIQUE,SULFATETETRACUIVRIQUE TRICALCIQUE,CYMOXANIL,CYMOXANIL,N/A,N/A,N/A,N/A,FERTITECH,ALINTRA ESPAGNE
CUIVRE + CYMOXANIL,CUPROFIX C WG,EL MOUSSEM,UPL,CUIVRE,CUIVRE,CYMOXANIL,CYMOXANIL,N/A,N/A,N/A,N/A,EL MOUSSEM,UPL
SULFATE DE CUIVRE TRIBASIQUE,CUPROXAT,EL MOUSSEM AGRICOLE,NUFARM,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,NUFARM
